,percent_return,spy_percent_return,cagr,volatility,sharpe_ratio,spy_cagr,excess_cagr,jensens_alpha,dollar_max_drawdown,percent_max_drawdown,log_max_drawdown_ratio,number_of_trades,average_active_trades,final_equity,window_length,strategy_type,lower_band,upper_band,max_active_positions
0,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,1,1,5
1,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,1,1,20
2,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,2,1,5
3,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,2,1,20
4,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,3,1,5
5,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,3,1,20
6,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,4,1,5
7,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,4,1,20
8,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,1,2,5
9,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,1,2,20
10,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,2,2,5
11,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,2,2,20
12,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,3,2,5
13,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,3,2,20
14,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,4,2,5
15,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,4,2,20
16,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,1,3,5
17,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,1,3,20
18,0.023514973181784082,1.8325266214908038,0.0023298525547092996,0.1733140635242306,0.013470062308606893,0.10990444806875588,-0.10757459551404658,-0.000337608604615507,43619.15961187468,0.3538576369966192,-0.41349266790927963,3616,5.0,102351.49731817842,1,reversal,2,3,5
19,0.513445353569336,1.8325266214908038,0.04236272911928585,0.1478743142557078,0.2869785396476742,0.10990444806875588,-0.06754171894947003,-0.00019863110822315318,41398.65594193607,0.22842218152213456,0.15507099702757188,9224,20.0,151344.5353569336,1,reversal,2,3,20
